long;str;str
23683;Twisting Nether;Allows you to resurrect yourself upon death with $21169s1% health and mana.  Usable once per hour.
23684;Aura of the Blue Dragon;2% chance successful spellcast to allow $s1% of your Mana regeneration to continue while casting for $d.
23685;Sam's Test Spell;
23686;Lightning Strike;Chance to strike your melee target with lightning for $23687s1 Nature damage.
23687;Lightning Strike;Lightning Strike for $s1 Nature damage.
23688;Aura of the Blue Dragon;2% chance on successful spellcast to allow $23684s1% of your Mana regeneration to continue while casting for $23684d.
23689;Heroism;Sometimes heals bearer of $23682s1 damage when damaging an enemy in melee.
23690;Berserker Rage Effect;"The Berserker Rage ability will generate $/10;23690s1 rage when used."
23691;Berserker Rage Effect;"The Berserker Rage ability will generate $/10;23691s1 rage when used."
23692;Alterac Manna Biscuit;Restores $26260o1 health and $26261o2 mana over $26260d.  Must remain seated while eating.
23693;Stormpike's Salvation;"While active; target's hit points increase by 20%."
23694;Improved Hamstring;Gives your Hamstring ability a chance to immobilize the target for $23694d.
23695;Improved Hamstring;Gives your Hamstring ability a $h% chance to immobilize the target for $23694d.
23696;First Aid;Heals $o1 damage over $d.
23697;Alterac Spring Water;Increases Spirit by $s1 for $d.
23698;Alterac Spring Water;Restores $o1 mana over $d.  Must remain seated while drinking.  Also increases your Spirit by $18141s1 for $18141d.
23699;Unstoppable Force;Knocks target back a short distance.
23700;Twisting Nether;
23701;Twisting Nether;Gives the wearer a 10% chance of being able to resurrect with $23700s1% health and mana.
23702;Create Warsong Mark of Honor;
23703;Might of the Timbermaw;
23704;Timbermaw Brawlers;
23705;Dawn Treaders;
23706;Golden Mantle of the Dawn;
23707;Lava Belt;
23708;Chromatic Gauntlets;
23709;Corehound Belt;
23710;Molten Belt;
23719;Untamed Fury;Increases Strength by $s1 for $d.
23720;Blessing of the Black Book;"Empowers your pet; increasing its spell power by $s1; its attack power by $s2; and its armor by $s3 for $d. This spell will only affect an Imp; Succubus; Voidwalker; Felhunter; or Felguard."
23721;Arcane Infused;"Infuses you with Arcane energy; causing your next Arcane Shot fired within $d to detonate at the target. The Arcane Detonation will deal $23722s1 damage to enemies near the target."
23722;Arcane Detonation;
23723;Mind Quickening;"Quickens the mind; increasing the Mage's haste rating by $s1 for $d."
23724;Metamorphosis Rune;Decreases the mana cost of all Druid shapeshifting forms by $s1 for $d.
23725;Gift of Life;"Increases your maximum health by 1500 for 20 sec.  After the effects wear off; you will lose the extra maximum health."
23726;Venomous Totem;Increases the damage dealt by Instant Poison by $s1 and the periodic damage dealt by Deadly Poison by $s2 for $d.
23727;Increased Spell Hit Chance 8;Increases your hit rating by $s1.
23728;Increase Spell Dam 84;Increases spell power by $s1.
23729;Increased Spell Hit Chance 16;Increases your hit rating by $s1.
23730;Increase Spell Dam 64;Increases spell power by $s1.
23731;Block Value 39;Increases the block value of your shield by $s1.
23732;Increase Spell Dam 56;Increases spell power by $s1.
23733;Blinding Light;"Energizes a Paladin with light; increasing melee haste rating by $s2 and spell haste rating by $s1 for $d."
23734;Nature Aligned;"Increases spell power by $s1; and increases mana cost of spells by $s3% for $d."
23735;Sayge's Dark Fortune of Strength;
23736;Sayge's Dark Fortune of Agility;
23737;Sayge's Dark Fortune of Stamina;
23738;Sayge's Dark Fortune of Spirit;
23758;Speak Draconic;
23759;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23759s1%; and increases the critical effect chance of your Fire spells by $23759s2%.



Voidwalker - Reduces Physical damage taken by $23760s1%.



Succubus - Increases your Shadow damage by $23761s1%; and increases the critical effect chance of your Shadow spells by $23761s2%.



Felhunter - Reduces all spell damage taken by $23762s1%.



Felguard - Increases all damage done by $35702s1%; and reduces all damage taken by $35702s2%."
23760;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23759s1%; and increases the critical effect chance of your Fire spells by $23759s2%.



Voidwalker - Reduces Physical damage taken by $23760s1%.



Succubus - Increases your Shadow damage by $23761s1%; and increases the critical effect chance of your Shadow spells by $23761s2%.



Felhunter - Reduces all spell damage taken by $23762s1%.



Felguard - Increases all damage done by $35702s1%; and reduces all damage taken by $35702s2%."
23761;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23759s1%; and increases the critical effect chance of your Fire spells by $23759s2%.



Voidwalker - Reduces Physical damage taken by $23760s1%.



Succubus - Increases your Shadow damage by $23761s1%; and increases the critical effect chance of your Shadow spells by $23761s2%.



Felhunter - Reduces all spell damage taken by $23762s1%.



Felguard - Increases all damage done by $35702s1%; and reduces all damage taken by $35702s2%."
23762;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23759s1%; and increases the critical effect chance of your Fire spells by $23759s2%.



Voidwalker - Reduces Physical damage taken by $23760s1%.



Succubus - Increases your Shadow damage by $23761s1%; and increases the critical effect chance of your Shadow spells by $23761s2%.



Felhunter - Reduces all spell damage taken by $23762s1%.



Felguard - Increases all damage done by $35702s1%; and reduces all damage taken by $35702s2%."
23765;Darkmoon Faire Fortune;
23766;Sayge's Dark Fortune of Intelligence;
23767;Sayge's Dark Fortune of Armor;
23768;Sayge's Dark Fortune of Damage;
23769;Sayge's Dark Fortune of Resistance;
23771;Wracking Pains Proc;
23772;Wilt;"Destroys the mana; rage and energy of all enemies within 100 yards."
23773;Suffering of Sanity;Steals health and power from the target.
23774;System Shock;Leeches power from the target.
23775;Stun Forever;Stuns the target until the effect is dispelled.
23780;Aegis of Preservation;"Increases armor by $s1; and heals $23781s1 damage every time you take ranged or melee damage for $d."
23781;Aegis Heal;
23782;Gift of Life;
23783;Gift of Life;
23784;Master Demonologist;
23785;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23759s1%; and increases the critical effect chance of your Fire spells by $23759s2%.



Voidwalker - Reduces Physical damage taken by $23760s1%.



Succubus - Increases your Shadow damage by $23761s1%; and increases the critical effect chance of your Shadow spells by $23761s2%.



Felhunter - Reduces all spell damage taken by $23762s1%.



Felguard - Increases all damage done by $35702s1%; and reduces all damage taken by $35702s2%."
23786;Powerful Anti-Venom;Target is cured of poisons up to level 60.
23787;Powerful Anti-Venom;Creates a Vial of Powerful Anti-Venom.
23789;Stoneclaw Totem TEST;Summons a Stoneclaw Totem TEST.
23792;Stoneclaw Totem Passive TEST;
23793;Strength;
23794;Agility +15;
23795;Increased Mana Regen;Restores $s1 mana per $t1 sec.
23796;Increase Healing 24;Increases spell power by $s1.
23797;Spirit;
23798;Intellect;
23799;Enchant Weapon - Strength;Permanently enchant a melee weapon to increase Strength by 15.
23800;Enchant Weapon - Agility;Permanently enchant a melee weapon to increase Agility by 15.
23801;Enchant Bracer - Mana Regeneration;Permanently enchant bracers to restore 5 mana every 5 seconds.
23802;Enchant Bracer - Healing Power;Permanently enchant bracers to increase spell power by 15.
23803;Enchant Weapon - Mighty Spirit;Permanently enchant a melee weapon to increase Spirit by 20.
23804;Enchant Weapon - Mighty Intellect;Permanently enchant a melee weapon to increase Intellect by 22.
23811;Jubling;Right Click to summon and dismiss your Jubling.
23822;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23826s1%; and increases the critical effect chance of your Fire spells by $23826s2%.



Voidwalker - Reduces Physical damage taken by $23841s1%.



Succubus - Increases your Shadow damage by $23833s1%; and increases the critical effect chance of your Shadow spells by $23833s2%.



Felhunter - Reduces all spell damage taken by $23837s1%.



Felguard - Increases all damage done by $35703s1%; and reduces all damage taken by $35703s2%."
23823;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23827s1%; and increases the critical effect chance of your Fire spells by $23827s2%.



Voidwalker - Reduces Physical damage taken by $23842s1%.



Succubus - Increases your Shadow damage by $23834s1%; and increases the critical effect chance of your Shadow spells by $23834s2%.



Felhunter - Reduces all spell damage taken by $23838s1%.



Felguard - Increases all damage done by $35704s1%; and reduces all damage taken by $35704s2%."
23824;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23828s1%; and increases the critical effect chance of your Fire spells by $23828s2%.



Voidwalker - Reduces Physical damage taken by $23843s1%.



Succubus - Increases your Shadow damage by $23835s1%; and increases the critical effect chance of your Shadow spells by $23835s2%.



Felhunter - Reduces all spell damage taken by $23839s1%.



Felguard - Increases all damage done by $35705s1%; and reduces all damage taken by $35705s2%."
23825;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23829s1%; and increases the critical effect chance of your Fire spells by $23829s2%.



Voidwalker - Reduces Physical damage taken by $23844s1%.



Succubus - Increases your Shadow damage by $23836s1%; and increases the critical effect chance of your Shadow spells by $23836s2%.



Felhunter - Reduces all spell damage taken by $23840s1%.



Felguard - Increases all damage done by $35706s1%; and reduces all damage taken by $35706s2%."
23826;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23826s1%; and increases the critical effect chance of your Fire spells by $23826s2%.



Voidwalker - Reduces Physical damage taken by $23841s1%.



Succubus - Increases your Shadow damage by $23833s1%; and increases the critical effect chance of your Shadow spells by $23833s2%.



Felhunter - Reduces all spell damage taken by $23837s1%.



Felguard - Increases all damage done by $35703s1%; and reduces all damage taken by $35703s2%."
23827;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23827s1%; and increases the critical effect chance of your Fire spells by $23827s2%.



Voidwalker - Reduces Physical damage taken by $23842s1%.



Succubus - Increases your Shadow damage by $23834s1%; and increases the critical effect chance of your Shadow spells by $23834s2%.



Felhunter - Reduces all spell damage taken by $23838s1%.



Felguard - Increases all damage done by $35704s1%; and reduces all damage taken by $35704s2%."
23828;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23828s1%; and increases the critical effect chance of your Fire spells by $23828s2%.



Voidwalker - Reduces Physical damage taken by $23843s1%.



Succubus - Increases your Shadow damage by $23835s1%; and increases the critical effect chance of your Shadow spells by $23835s2%.



Felhunter - Reduces all spell damage taken by $23839s1%.



Felguard - Increases all damage done by $35705s1%; and reduces all damage taken by $35705s2%."
23829;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23829s1%; and increases the critical effect chance of your Fire spells by $23829s2%.



Voidwalker - Reduces Physical damage taken by $23844s1%.



Succubus - Increases your Shadow damage by $23836s1%; and increases the critical effect chance of your Shadow spells by $23836s2%.



Felhunter - Reduces all spell damage taken by $23840s1%.



Felguard - Increases all damage done by $35706s1%; and reduces all damage taken by $35706s2%."
23830;Master Demonologist;
23831;Master Demonologist;
23832;Master Demonologist;
23833;Master Demonologist;"Grants both the Warlock and the summoned demon an effect as long as that demon is active.



Imp - Increases your Fire damage by $23826s1%; and increases the critical effect chance of your Fire spells by $23826s2%.



Voidwalker - Reduces Physical damage taken by $23841s1%.



Succubus - Increases your Shadow damage by $23833s1%; and increases the critical effect chance of your Shadow spells by $23833s2%.



Felhunter - Reduces all spell damage taken by $23837s1%.



Felguard - Increases all damage done by $35703s1%; and reduces all damage taken by $35703s2%."
